Month,Airline,Market_Share
2023-07,IndiGo,26.34%
2024-07,IndiGo,25.44%
2015-07,IndiGo,0.83%
2016-07,IndiGo,0.74%
2016-07,IndiGo,0.00%
2017-07,IndiGo,1.16%
2017-07,IndiGo,0.00%
2018-07,IndiGo,1.24%
2019-07,IndiGo,2.13%
2020-07,IndiGo,0.12%
2021-07,IndiGo,0.02%
2022-07,IndiGo,3.13%
2022-07,IndiGo,0.13%
2023-07,IndiGo,3.40%
2023-07,IndiGo,0.10%
2024-07,IndiGo,3.54%
2024-07,IndiGo,0.02%
2020-08,IndiGo,1.03%
2021-08,IndiGo,1.13%
2022-08,IndiGo,0.01%
2024-08,IndiGo,0.00%
2015-08,IndiGo,14.26%
2016-08,IndiGo,16.50%
2017-08,IndiGo,15.99%
2018-08,IndiGo,17.61%
2019-08,IndiGo,21.68%
2020-08,IndiGo,26.57%
2021-08,IndiGo,26.60%
2022-08,IndiGo,24.10%
2023-08,IndiGo,26.48%
2024-08,IndiGo,25.66%
2015-08,IndiGo,0.81%
2016-08,IndiGo,0.68%
2016-08,IndiGo,0.00%
2017-08,IndiGo,1.15%
2017-08,IndiGo,0.00%
2018-08,IndiGo,1.24%
2019-08,IndiGo,2.29%
2020-08,IndiGo,0.11%
2021-08,IndiGo,0.01%
2022-08,IndiGo,2.96%
2022-08,IndiGo,0.12%
2023-08,IndiGo,3.34%
2023-08,IndiGo,0.09%
2024-08,IndiGo,3.57%
2024-08,IndiGo,0.02%
2020-09,IndiGo,1.14%
2021-09,IndiGo,1.55%
2022-09,IndiGo,0.00%
2024-09,IndiGo,0.00%
2015-09,IndiGo,15.00%
2016-09,IndiGo,16.69%
2017-09,IndiGo,16.30%
2018-09,IndiGo,18.39%
2019-09,IndiGo,22.30%
2020-09,IndiGo,26.14%
2021-09,IndiGo,25.61%
2022-09,IndiGo,24.32%
2023-09,IndiGo,26.71%
2024-09,IndiGo,26.07%
2015-09,IndiGo,0.78%
2016-09,IndiGo,0.73%
2016-09,IndiGo,0.00%
2017-09,IndiGo,1.10%
2017-09,IndiGo,0.00%
2018-09,IndiGo,1.19%
2019-09,IndiGo,2.38%
2020-09,IndiGo,0.06%
2021-09,IndiGo,0.01%
2022-09,IndiGo,2.77%
2022-09,IndiGo,0.11%
2023-09,IndiGo,3.24%
2023-09,IndiGo,0.09%
2024-09,IndiGo,3.52%
2024-09,IndiGo,0.02%
2020-10,IndiGo,1.12%
2021-10,IndiGo,1.55%
2024-10,IndiGo,0.00%
2015-10,IndiGo,15.27%
2016-10,IndiGo,17.91%
2017-10,IndiGo,17.01%
2018-10,IndiGo,18.27%
2019-10,IndiGo,21.94%
2020-10,IndiGo,25.33%
2021-10,IndiGo,24.29%
2022-10,IndiGo,24.09%
2023-10,IndiGo,26.23%
2024-10,IndiGo,26.25%
2015-10,IndiGo,0.76%
2016-10,IndiGo,0.78%
2016-10,IndiGo,0.00%
2017-10,IndiGo,1.06%
